company_name,product_name,cash_payment,max_installments,min_price_installments,cash_payment_credit_card
Growth Supplements,camiseta premium long growth man preta,67.5,6,12.5,75.0
Growth Supplements,camiseta premium long growth the iron vermelho,67.5,6,12.5,75.0
Growth Supplements,camiseta premium long growth the iron azul,67.5,6,12.5,75.0
Growth Supplements,cinturão preto team growth the iron never lies,162.0,6,30.0,180.0
Growth Supplements,camiseta premium long growth man azul,67.5,6,12.5,75.0
Growth Supplements,camiseta premium long growth man branca,67.5,6,12.5,75.0
Growth Supplements,camiseta long preta growth vertical,58.5,6,10.83,65.0
Growth Supplements,boné edição limitada área 51,63.0,6,11.67,70.0
Growth Supplements,camiseta preto off growth classic - edição limitada,49.5,6,9.17,55.0
Growth Supplements,camiseta off growth classic - edição limitada,49.5,6,9.17,55.0
Growth Supplements,cinturão vermelho team growth the iron never lies,162.0,6,30.0,180.0
Growth Supplements,cinturão growth,162.0,6,30.0,180.0
Growth Supplements,camiseta branca manga longa the iron never lies,49.5,6,9.17,55.0
Growth Supplements,regata preta off growth classic - edição limitada,49.5,6,9.17,55.0
Growth Supplements,camiseta premium long preta do you scares,58.5,6,10.83,65.0
Growth Supplements,regata preta growth halter,36.0,6,6.67,40.0
Growth Supplements,camiseta preta manga longa the iron never lies,49.5,6,9.17,55.0
Growth Supplements,regata preta the iron never lies,36.0,6,6.67,40.0
Growth Supplements,"regata preta cresce, sobe, segura, esmaga.",36.0,6,6.67,40.0
Growth Supplements,regata preta trademark,36.0,6,6.67,40.0
Growth Supplements,bermudão vermelho old growth,76.5,6,14.17,85.0
Growth Supplements,bermudão old growth branco,76.5,6,14.17,85.0
Growth Supplements,bermudão preto classic growth - edição limitada,76.5,6,14.17,85.0
Growth Supplements,jaqueta preta corta vento g branco,108.0,6,20.0,120.0
Growth Supplements,camiseta a boca mente o shape não! - gorgonoid,76.5,6,14.17,85.0
Growth Supplements,bermudão old growth vermelho,76.5,6,14.17,85.0
Growth Supplements,bermudão branco classic growth - edição limitada,76.5,6,14.17,85.0
Growth Supplements,camiseta preta growth trademark,40.5,6,7.5,45.0
